"region","country_iso3","city","year","status_institute","language","subsidiaries_in","main_institute_in","open1","close1","open2","close2","open3","close3","open_before_1965"
7,"BOL","Sucre",1999,0,0,NA,NA,1971,1973,NA,NA,NA,NA,0
7,"BRA","Recife",1968,0,0,NA,NA,1966,1967,NA,NA,NA,NA,0
7,"BRA","Santa Cruz do Sul",1974,0,0,NA,NA,1971,1974,NA,NA,NA,NA,0
7,"BRA","Santa Cruz do Sul",1981,0,0,NA,NA,1971,1974,NA,NA,NA,NA,0
7,"BRA","Santa Cruz do Sul",2002,0,0,NA,NA,1971,1974,NA,NA,NA,NA,0
7,"BRA","Recife",1971,0,0,NA,NA,1966,1967,NA,NA,NA,NA,0
7,"BOL","Cochabamba",1971,2,1,NA,"La Paz",1971,1972,NA,NA,NA,NA,0
7,"CHL","Arica",1967,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"BRA","Belo Horizonte",1994,3,2,NA,NA,1965,1996,NA,NA,NA,NA,1
7,"BRA","Salvador",1979,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"CHL","Santiago",1989,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"ARG","Rosario",1996,0,0,NA,NA,1977,1979,NA,NA,NA,NA,0
7,"BOL","Oruro",1990,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"COL","Medellin",2007,0,0,NA,NA,1965,1994,NA,NA,NA,NA,1
7,"CHL","Santiago",2003,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"CHL","Osorno",1972,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"BOL","Tarija",1999,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"CHL","Valdivia",1997,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"BOL","Oruro",2012,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"VEN","Caracas",2013,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"BRA","Santa Cruz do Sul",2000,0,0,NA,NA,1971,1974,NA,NA,NA,NA,0
7,"BRA","Santa Cruz do Sul",1970,0,0,NA,NA,1971,1974,NA,NA,NA,NA,0
7,"BOL","Sucre",1976,0,0,NA,NA,1971,1973,NA,NA,NA,NA,0
7,"BOL","Potosi",2000,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"CHL","Arica",1972,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"BRA","Recife",1998,0,0,NA,NA,1966,1967,NA,NA,NA,NA,0
7,"ARG","Mendoza",1999,0,0,NA,NA,1965,1997,NA,NA,NA,NA,1
7,"BRA","Goiania",2008,0,0,NA,NA,1971,1973,NA,NA,NA,NA,0
7,"CHL","San Antonio",1965,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"BOL","Tarija",1989,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"BRA","Brasilia",1997,3,2,NA,NA,1970,1998,NA,NA,NA,NA,0
7,"CHL","Arica",2009,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"ARG","Rosario",1986,0,0,NA,NA,1977,1979,NA,NA,NA,NA,0
7,"CHL","Valdivia",2009,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"ARG","Rosario",1982,0,0,NA,NA,1977,1979,NA,NA,NA,NA,0
7,"BRA","Belo Horizonte",1986,3,2,NA,NA,1965,1996,NA,NA,NA,NA,1
7,"CHL","Osorno",2009,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"CHL","Arica",1998,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"URY","Montevideo",1970,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"COL","Bogota",2006,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"BRA","Goiania",1968,0,0,NA,NA,1971,1973,NA,NA,NA,NA,0
7,"ARG","San Juan",2003,0,0,NA,NA,1971,1994,NA,NA,NA,NA,0
