"country_iso3","year","registrations"
"UKR",1971,NA
"URY",1971,14
"USA",1971,2068
"UZB",1971,NA
"VAT",1971,0
"VCT",1971,NA
"VEN",1971,53
"VGB",1971,0
"VNM",1971,494
"WSM",1971,0
"YDYE",1971,0
"YEM",1971,22
"YUCS",1971,303
"ZAF",1971,36
"ZMB",1971,10
"ZWE",1971,1
"AFG",1972,65
"AGO",1972,2
"ALB",1972,0
"AND",1972,2
"ANHH",1972,0
"ARE",1972,174
"ARG",1972,131
"ARM",1972,NA
"ATG",1972,NA
"AUS",1972,92
"AUT",1972,0
"AZE",1972,NA
"BDI",1972,10
"BEL",1972,124
"BEN",1972,20
"BFA",1972,15
"BGD",1972,10
"BGR",1972,41
"BHR",1972,0
"BHS",1972,0
"BIH",1972,NA
"BLR",1972,NA
"BLZ",1972,NA
"BMU",1972,0
"BOL",1972,74
"BRA",1972,266
"BRB",1972,0
"BRN",1972,NA
"BTN",1972,0
"BWA",1972,0
"CAF",1972,9
"CAN",1972,194
"CHE",1972,275
"CHL",1972,82
"CHN",1972,0
"CIV",1972,40
"CMR",1972,19
"COD",1972,43
"COG",1972,11
"COL",1972,83
"COM",1972,NA
"CONGO",1972,0
"CPV",1972,NA
"CRI",1972,20
"CSHH",1972,212
"CSXX",1972,NA
"CUB",1972,1
"CYP",1972,28
"CZE",1972,NA
"DDDE",1972,0
"DEU",1972,615
"DJI",1972,NA
"DMA",1972,NA
"DNK",1972,18
"DOM",1972,12
"DZA",1972,108
"ECU",1972,51
"EGY",1972,0
"ERI",1972,NA
"ESP",1972,312
"EST",1972,NA
"ETH",1972,20
"FIN",1972,79
"FJI",1972,0
"FRA",1972,828
"GAB",1972,8
"GBR",1972,326
"GEO",1972,NA
"GHA",1972,71
"GIN",1972,1
"GMB",1972,1
"GNB",1972,NA
"GNQ",1972,0
"GRC",1972,592
"GRD",1972,NA
"GTM",1972,41
"GUAYA",1972,4
"GUM",1972,0
"COMIS",1972,NA
"HKG",1972,17
"HND",1972,22
"HRV",1972,NA
"HTI",1972,12
"HUN",1972,0
"IDN",1972,607
"IND",1972,220
"IRL",1972,21
"IRN",1972,372
"IRQ",1972,34
"ISL",1972,20
"ISPAL",1972,76
"ISR",1972,0
"ITA",1972,493
"JAM",1972,21
"JOR",1972,140
"JPN",1972,1227
"KAZ",1972,NA
"KEN",1972,26
"KGZ",1972,NA
"KHM",1972,0
"KNA",1972,NA
"KOR",1972,555
"KWT",1972,0
"LAO",1972,0
"LBN",1972,76
"LBR",1972,4
"LBY",1972,35
